,Unnamed: 0,tweets,clean_text,Sentiment
0,0,Breast cancer risk test devised http://bbc.in/1CimpJF,breast cancer risk test devised,NEUTRAL
1,1,GP workload harming care - BMA poll http://bbc.in/1ChTBRv,gp workload harming care bma poll,NEUTRAL
2,2,Short people's 'heart risk greater' http://bbc.in/1ChTANp,short people heart risk greater,MIXED
3,3,New approach against HIV 'promising' http://bbc.in/1E6jAjt,new approach hiv promising,POSITIVE
4,4,Coalition 'undermined NHS' - doctors http://bbc.in/1CnLwK7,coalition undermined nhs doctors,NEUTRAL
5,5,Review of case against NHS manager http://bbc.in/1Ffj6ci,review case nhs manager,NEUTRAL
6,6,"VIDEO: 'All day is empty, what am I going to do?' http://bbc.in/1N7wSSz",video all day empty going,NEGATIVE
7,7,VIDEO: 'Overhaul needed' for end-of-life care http://bbc.in/1CmrRu3,video overhaul needed end life care,NEGATIVE
8,8,Care for dying 'needs overhaul' http://bbc.in/1FdSGrl,care dying needs overhaul,NEGATIVE
9,9,VIDEO: NHS: Labour and Tory key policies http://bbc.in/1Ci5eqD,video nhs labour tory key policies,NEUTRAL
10,10,Have GP services got worse? http://bbc.in/1Ci5c22,have gp services got worse,NEGATIVE
11,11,A&amp;E waiting hits new worst level http://bbc.in/1Fa4Xgz,amp waiting hits new worst level,NEGATIVE
12,12,Parties row over GP opening hours http://bbc.in/1CfcVOb,parties row gp opening hours,NEUTRAL
13,13,Why strenuous runs may not be so bad after all http://bbc.in/1Ceq0Y7,why strenuous runs may bad,NEGATIVE
14,14,VIDEO: Health surcharge for non-EU patients http://bbc.in/1C5Mlbk,video health surcharge non eu patients,NEUTRAL
15,15,VIDEO: Skin cancer spike 'from 60s holidays' http://bbc.in/1C9Gy3o,video skin cancer spike holidays,NEUTRAL
16,16,"80,000 'might die' in future outbreak http://bbc.in/1F3nif2",might die future outbreak,NEUTRAL
17,17,Skin cancer 'linked to holiday boom' http://bbc.in/1Pb4Xjb,skin cancer linked holiday boom,NEUTRAL
18,18,Public 'back tax rises to fund NHS' http://bbc.in/1ETauYE,public back tax rises fund nhs,NEUTRAL
19,19,VIDEO: Welcome to the designer asylum http://bbc.in/1CD3Dip,video welcome designer asylum,NEUTRAL
20,20,VIDEO: Why are we having less sex? http://bbc.in/19RKqiY,video why less sex,NEUTRAL
21,21,Five ideas to transform the NHS http://bbc.in/1BTQU7k,five ideas transform nhs,NEUTRAL
22,22,Personal cancer vaccines 'exciting' http://bbc.in/1ENwsMD,personal cancer vaccines exciting,MIXED
23,23,Child heart surgery deaths 'halved' http://bbc.in/1BT4s2U,child heart surgery deaths halved,NEUTRAL
24,24,VIDEO: Miliband: Cameron 'failed' the NHS http://bbc.in/1BSKo0T,video miliband cameron failed nhs,NEUTRAL
25,25,Unsafe food 'growing global threat' http://bbc.in/1BREQDJ,unsafe food growing global threat,NEGATIVE
26,26,Health highlights http://bbc.in/1EKlFCK,health highlights,NEUTRAL
27,27,Ambulance progress 'not fast enough' http://bbc.in/1P1AJyX,ambulance progress fast enough,POSITIVE
28,28,Childrenâs hospital builds sleep app http://bbc.in/1BO9jlZ,childrens hospital builds sleep app,NEUTRAL
29,29,Drug giant 'blocks' eye treatment http://bbc.in/1P0rpv2,drug giant blocks eye treatment,NEUTRAL
30,30,Blood test for Down's syndrome hailed http://bbc.in/1BO3eWQ,blood test down syndrome hailed,NEUTRAL
31,31,VIDEO: 'We must plan for future of NHS' http://bbc.in/1BRNoeJ,video we must plan future nhs,NEUTRAL
32,32,Paracetamol âno good for back pain' http://bbc.in/1MvP0oO,paracetamol good back pain,POSITIVE
33,33,Care system 'gets biggest shake-up' http://bbc.in/19Ad4Vy,care system gets biggest shake,NEGATIVE
34,34,VIDEO: Could existing drugs offer MS hope? http://bbc.in/1OWzSPT,video could existing drugs offer ms hope,NEUTRAL
35,35,MS drug 'may already be out there' http://bbc.in/1BIUAZx,ms drug may already,NEUTRAL
36,36,VIDEO: Nursing code of conduct launched http://bbc.in/1BLrny7,video nursing code conduct launched,NEUTRAL
37,37,VIDEO: Disability village 'under threat' http://bbc.in/1BLlj8L,video disability village threat,NEUTRAL
38,38,Uganda circumcision truck fights HIV http://bbc.in/1BKT2iJ,uganda circumcision truck fights hiv,NEUTRAL
39,39,More veterans seek mental health aid http://bbc.in/1DhbCnf,more veterans seek mental health aid,NEUTRAL
40,40,E-cigarette use 'high among teens' http://bbc.in/1DhbCn6,cigarette use high among teens,NEUTRAL
41,41,Medieval eye remedy 'kills MRSA' http://bbc.in/1ysI93N,medieval eye remedy kills mrsa,NEUTRAL
